term,sourceLabel,label,definition,sourceURL,sourceFile
GSE,SpacePy,"Geocentric Solar Ecliptic","","https://spacepy.github.io/_modules/spacepy/coordinates.html","software/SpacePy-2023.csv"
GSE,IVOA_STCT,"Geocentric Solar Ecliptic coordinates","See F&H (2002)","https://www.ivoa.net/documents/REC/DM/STC-20071030.html","documents/IVOA_STCT-2007.csv"
GSE,SPASE,"Geocentric Solar Ecliptic","Geocentric Solar Ecliptic - A coordinate system where the X axis is from Earth to Sun. Z axis is normal to the ecliptic, positive northward. See Russell, 1971.","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
GSE,TREPS_frames,"Geocentric Solar Ecliptic","The Earth-centric Solar Ecliptic frame is defined as follows :

      -  X-Y plane is defined by the Earth Mean Ecliptic plane of date:
         the +Z axis, primary vector, is the normal vector to this plane,
         always pointing toward the North side of the invariant plane;

      -  +X axis is the component of the Earth-Sun vector that is orthogonal
         to the +Z axis;

      -  +Y axis completes the right-handed system;

      -  the origin of this frame is the Sun's center of mass.

   All the vectors are geometric: no aberration corrections are used.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
GSE",Geopack,"","","https://geo.phys.spbu.ru/~tsyganenko/empirical-models/coordinate_systems/gsw_system","software/Geopack-2008_gsw_system.csv"
GSEQ,SPASE,"Geocentric Solar Equatorial","Geocentric Solar Equatorial - A coordinate system where the X axis is from Earth to Sun. Y axis is parallel to solar equatorial plane. Z axis is positive northward. See Russell, 1971","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
GSEQ,TREPS_frames,"Geocentric Solar Equatorial","The Geocentric Solar Equatorial frame is defined as follows :

      -  +X axis is the position of the Sun relative to the Earth; it's
         the primary vector and points from the Earth to the Sun;

      -  +Z axis is the component of the Sun's north pole of date orthogonal
         to the +X axis;

      -  +Y axis completes the right-handed reference frame;

      -  the origin of this frame is the Earth's center of mass.

   All the vectors are geometric: no aberration corrections are used.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
GSM,Laundal_and_Richmond,"Geocentric Solar Magnetic (Sect. 3.4)","","https://doi.org/10.1007/s11214-016-0275-y","papers/Laundal_and_Richmond-2016.csv"
GSM,PySPEDAS,"","","https://github.com/spedas/pyspedas/blob/master/pyspedas/cotrans/cotrans_lib.py","software/PySPEDAS-2023.csv"
GSM,SpacePy,"Geocentric Solar Magnetospheric","","https://spacepy.github.io/_modules/spacepy/coordinates.html","software/SpacePy-2023.csv"
GSM,Geopack,"","","https://geo.phys.spbu.ru/~tsyganenko/empirical-models/coordinate_systems/gsw_system","software/Geopack-2008_gsw_system.csv"
GSM,IVOA_STCT,"Geocentric Solar Magnetic coordinates","See F&H (2002)","https://www.ivoa.net/documents/REC/DM/STC-20071030.html","documents/IVOA_STCT-2007.csv"
GSM,SPASE,"Geocentric Solar Magnetospheric","Geocentric Solar Magnetospheric - A coordinate system where the X axis is from Earth to Sun, Z axis is northward in a plane containing the X axis and the geomagnetic dipole axis. See Russell, 1971","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
GSM,TREPS_frames,"Geocentric Solar Magnetospheric","Geocentric Solar Magnetospheric - A coordinate system where
      the X axis is from Earth to Sun, Z axis is northward in a plane
      containing the X axis and the geomagnetic dipole axis.
      See Russell, 1971

      Thus, +X is identical as GSE +X and is the primary, and +Z is the
      secondary and is the MAG +Z.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
GSW,Geopack," Geocentric Solar Wind","The Geocentric Solar Wind (GSW) coordinate system takes into account the actual direction of the solar wind at the Earth's location. The GSW system differs from the standard GSM only in that its $X$-axis is directed anti-parallel to the observed solar wind flow, rather than to Sun's center, which more accurately takes into account the aberration effect.\n\n## Difference between the GSM and GSW coordinate systems\n\nThe most frequently used coordinate system in solar-terrestrial physics is the Geocentric Solar  Magnetospheric (GSM) system. The standard GSM has its $X$-axis pointing toward the Sun, the $Z$-axis is perpendicular to $X$ and belongs a plane formed by the $X$-axis and the Earth's dipole axis, and the $Y$  completes a right-handed orthogonal set. \n\nTo be more precise, one should also take into account that the solar wind does not arrive radially but approaches  from $\alpha^{\circ}$ west of the Sun due to the Earth's orbital motion, where $\alpha=\arctan(V_E/V_{SW})$ and  $V_E=29.77$ km/s. On average, $\alpha$ is equal to $\sim 4^{\circ}$ assuming the solar wind speed $V_{SW}\sim 425$ km/s.  Here we should note that [the OMNI data](https://omniweb.gsfc.nasa.gov/form/omni_min.html) are provided with the  already removed aberration from the solar wind velocity component (the correction $V_Y=-29.77$ km/s introduced). \n\nIf the actual direction of the solar wind is known, then even more precise Geocentric Solar Wind (GSW) coordinate system  may be used. It differs from the GSM system only in that $X_{GSW}$ axis is directed anti-parallel to the observed solar  wind flow, which more accurately takes into account the variable aberration effect. The GSW system was first introduced  and described by [Hones et al. (1986)](https://www.sciencedirect.com/science/article/abs/pii/0032063386900012).","https://geo.phys.spbu.ru/~tsyganenko/empirical-models/coordinate_systems/gsw_system","software/Geopack-2008_gsw_system.csv"
GeocentricEarthEquatorial,SunPy,"Geocentric Earth Equatorial (Mean); GEI","The origin is the center of the Earth.\n\nThe Z-axis (+90 degrees latitude) is aligned with the Earth’s north pole.\n\nThe X-axis (0 degrees longitude and 0 degrees latitude) is aligned with the mean (not true) vernal equinox.","https://github.com/sunpy/sunpy/wiki/Coordinate-systems","software/SunPy-2023.csv"
GeocentricMeanEcliptic,AstroPy,"Geocentric Mean Ecliptic"," "Geocentric mean ecliptic coordinates. These origin of the coordinates are the geocenter (Earth)","https://docs.astropy.org/en/stable/coordinates/skycoord.html","software/AstroPy-2024-09-09.csv"
GeocentricSolarEcliptic,SunPy,"Geocentric Solar Ecliptic; GSE","The origin is the center of the Earth.\n\nThe X-axis (0 degrees longitude and 0 degrees latitude) is aligned with the Earth-Sun line.\n\nThe Z-axis (+90 degrees latitude) is aligned with the component perpendicular to the X-axis of the mean ecliptic pole at the observation time.","https://github.com/sunpy/sunpy/wiki/Coordinate-systems","software/SunPy-2023.csv"
GeocentricSolarMagnetospheric,SunPy,"Geocentric Solar Magnetospheric; GSM","The origin is the center of the Earth.\n\nThe X-axis (0 degrees longitude and 0 degrees latitude) is aligned with the Earth-Sun line.\n\nThe Z-axis (+90 degrees latitude) is aligned with the component of the Earth’s magnetic north pole that is perpendicular to the X-axis.","https://github.com/sunpy/sunpy/wiki/Coordinate-systems","software/SunPy-2023.csv"
GeocentricTrueEcliptic,AstroPy,"Geocentric True Ecliptic","Geocentric true ecliptic coordinates. These origin of the coordinates are the geocenter (Earth), with the x axis pointing to the true (not mean) equinox at the time specified by the equinox attribute, and the xy-plane in the plane of the ecliptic for that date.\n\nBe aware that the definition of “geocentric” here means that this frame includes light deflection from the sun, aberration, etc when transforming to/from e.g. ICRS.","https://docs.astropy.org/en/stable/coordinates/skycoord.html","software/AstroPy-2024-09-09.csv"
Geographic,SunPy,"Geographic; GEO","Astropy's ITRS frame","https://github.com/sunpy/sunpy/wiki/Coordinate-systems","software/SunPy-2023.csv"
Geomagnetic,SunPy,"Geomagnetic; MAG","The origin is the center of the Earth.\n\nThe Z-axis (+90 degrees latitude) is aligned with the Earth’s magnetic north pole.\n\nThe X-axis (0 degrees longitude and 0 degrees latitude) is aligned with the component of the Earth’s geographic north pole that is perpendicular to the Z-axis.","https://github.com/sunpy/sunpy/wiki/Coordinate-systems","software/SunPy-2023.csv"
HAE,SPASE,"Heliocentric Aries Ecliptic","Heliocentric Aries Ecliptic - A coordinate system where the Z axis is normal to the ecliptic plane, positive northward. X axis is positive towards the first point of Aries (from Earth to Sun at vernal equinox). Same as SE below. See Hapgood, 1992.","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
HALLEY_CSO,TREPS_frames,"Comet solar orbital  centered on HALLEY comet","Comet frames are defined as a two-vector style dynamic frames as follows:
 
      -  The position of the sun relative to the comet is the primary
         vector: the X axis points from the comet to the sun.

      -  The inertially referenced velocity of the sun relative to the
         comet is the secondary vector: the Y axis is the component of
         this velocity vector orthogonal to the X axis.

      -  The Z axis is X cross Y, completing the right-handed reference
         frame.

      -  All vectors are geometric: no aberration corrections are used.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
HALLEY_EME,TREPS_frames,"J2000 centered on HALLEY comet","Earth mean equator, dynamical equinox of J2000 centered on Halley comet.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
HCC,IVOA_STCT,"Heliocentric Cartesian coordinates","See Thompson (2006), Section 3.1 (linear coordinates); right-handed","https://www.ivoa.net/documents/REC/DM/STC-20071030.html","documents/IVOA_STCT-2007.csv"
HCC,SPASE,"Heliocentric Cartesian","Heliocentric Cartesian - A 3-D orthonormal coordinate system that is primarily intended to specify with two dimensions a point on the solar disk. The Z axis points toward the observer. The Y axis lies in the plane defined by the solar spin vector and the Z axis, positive northward. The X axis is perpendicular to the Y and Z axes, positive toward solar west. Standard representation for this system is via the points x and y values, expressed either as physical distances or as fractions of the solar disk radius.","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
HCI,SPASE,"Heliographic Carrington Inertial","Heliographic Carrington Inertial.","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
HCI,TREPS_frames,"Heliocentric Inertial","The Heliocentric Inertial Frame is defined as follows :

    -  X-Y plane is defined by the Sun's equator of epoch J2000: the +Z
       axis, primary vector, is parallel to the Sun's rotation axis of
       epoch J2000, pointing toward the Sun's north pole;

    -  +X axis is defined by the ascending node of the Sun's equatorial
       plane on the ecliptic plane of J2000;

    -  +Y completes the right-handed frame;

    -  the origin of this frame is the Sun's center of mass.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
HCR,SPASE,"Heliocentric Radial","Heliocentric Radial - A 3-D orthonormal coordinate system that is primarily intended to specify with two dimensions a point on the solar disk. The Z axis points toward the observer. The Y axis lies in the plane defined by the solar spin vector and the Z axis, positive northward. The X axis is perpendicular to the Y and Z axes, positive toward solar west. Standard representation for this system is via the points distance rho from the Z axis [Rho = SQRT(x**2 + y**2)] and its phase angle psi measured counterclockwise from the +Y axis [psi = arctan (-y/x)]","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
HCRS,AstroPy,"Heliocentric system"," with axes aligned to ICRS","https://docs.astropy.org/en/stable/coordinates/skycoord.html","software/AstroPy-2024-09-09.csv"
HEE,SPASE,"Heliocentric Earth Ecliptic","Heliocentric Earth Ecliptic - A coordinate system where the Z axis is normal to the ecliptic plane, positive northward. X axis points from Sun to Earth. See Hapgood, 1992","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
HEE,TREPS_frames,"Heliocentric Earth Ecliptic","The Heliocentric Earth Ecliptic frame is defined as follows :

      -  X-Y plane is defined by the Earth Mean Ecliptic plane of date,
         therefore, the +Z axis is the primary vector,and it defined as
         the normal vector to the Ecliptic plane that points toward the
         north pole of date;

      -  +X axis is the component of the Sun-Earth vector that is
         orthogonal to the +Z axis;

      -  +Y axis completes the right-handed system;

      -  the origin of this frame is the Sun's center of mass.

   All vectors are geometric: no aberration corrections are used.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
HEEQ,IVOA_STCT,"Heliographic Earth Equatorial coordinates","See F&H (2002); related to Heliographic (Stonyhurst), see Thompson (2006), Section 2.1","https://www.ivoa.net/documents/REC/DM/STC-20071030.html","documents/IVOA_STCT-2007.csv"
HEEQ,SPASE,"Heliocentric Earth Equatorial","Heliocentric Earth Equatorial - A coordinate system where the Z axis is normal to the solar equatorial plane, positive northward. X axis is generally Earthward in the plane defined by the Z axis and the Sun-Earth direction. See Hapgood, 1992.","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
HEEQ,TREPS_frames,"Heliocentric Earth Equatorial","The Heliocentric Earth Equatorial frame is defined as follows:

      -  X-Y plane is the solar equator of date, therefore, the +Z axis 
         is the primary vector and it is aligned to the Sun's north pole
         of date;

      -  +X axis is defined by the intersection between the Sun equatorial
         plane and the solar central meridian of date as seen from the Earth.
         The solar central meridian of date is defined as the meridian of the
         Sun that is turned toward the Earth. Therefore, +X axis is the
         component of the Sun-Earth vector that is orthogonal to the +Z axis;

      -  +Y axis completes the right-handed system;

      -  the origin of this frame is the Sun's center of mass.

   All vectors are geometric: no aberration corrections are used.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
HERTN,SPASE,"Helio-Eclipitic Radial Tangential Normal","Helio-Eclipitic Radial Tangential Normal coordinate system. Typically centered at a spacecraft. The X axis (radial) is set as the primary axis, and is defined as the axis pointing from the spacecraft to the Sun.  The Z axis (tangential) is set as the secondary axis, and is defined as that portion of the ecliptic rotational axis which is perpendicular to the primary axis. The Y axis (Normal) is defined as Z cross X.","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
HG,SPASE,"Heliographic","Heliographic - A heliocentric rotating coordinate system where the Z axis is normal to the solar equatorial plane, positive northward. X, Y axes rotate with a 25.38 day period. The zero longitude (X axis) is defined as the longitude that passed through the ascending node of the solar equator on the ecliptic plane on 1 January, 1854 at 12 UT. See <http://nssdc.gsfc.nasa.gov/space/helios/coor_des.html>","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
HGC,IVOA_STCT,"Heliographic coordinates (Carrington)","See Explanatory Supplement, Section 7.2
Thompson (2006), Section 2.2","https://www.ivoa.net/documents/REC/DM/STC-20071030.html","documents/IVOA_STCT-2007.csv"
HGI,IVOA_STCT,"Heliographic Inertial coordinates","See F&H (2002)","https://www.ivoa.net/documents/REC/DM/STC-20071030.html","documents/IVOA_STCT-2007.csv"
HGI,SPASE,"Heliographic Inertial","Heliographic Inertial - A heliocentric coordinate system where the Z axis is normal to the solar equatorial plane, positive northward. X axis is along the intersection line between solar equatorial and ecliptic planes. The X axis was positive at SE longitude of 74.367 deg on Jan 1, 1900. (See SE below.) See <http://nssdc.gsfc.nasa.gov/space/helios/coor_des.html>","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
HGRTN,SPASE,"Heliocentric Radial Tangential Normal","Heliocentric Radial Tangential Normal coordinate system (aka RTN). Typically centered at a spacecraft. Used for IMF and plasma V vectors. The X axis (radial) is set as the primary axis, and is defined as the axis pointing from the spacecraft to the Sun. The Z axis (tangential) is set as the secondary axis, and is defined as that portion of the solar North rotational axis which is perpendicular to the primary axis. The Y axis (normal) is defined as Z cross X.","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
HGS,IVOA_STCT,"Heliographic coordinates (Stonyhurst)","See Explanatory Supplement, Section 7.2
Thompson (2006), Section 2.2","https://www.ivoa.net/documents/REC/DM/STC-20071030.html","documents/IVOA_STCT-2007.csv"
HPC,IVOA_STCT,"Helioprojective Cartesian coordinates","See Thompson (2006), Section 4.1, 2- or 3-dimensional (angular coordinates); left-handed","https://www.ivoa.net/documents/REC/DM/STC-20071030.html","documents/IVOA_STCT-2007.csv"
HPC,SPASE,"Helioprojective Cartesian","Helioprojective Cartesian = A 3-D orthonormal (left-handed) coordinate system that is primarily intended to specify with two dimensions a point on the solar disk. The Z axis points from the observer to the center of the solar disk. The Y axis lies in the plane defined by the solar spin vector and the Z axis, positive northward. The X axis is perpendicular to the Y and Z axes, positive toward solar west. Given as the distance between the observer and the center of the solar disk, the standard representation of an (x,y) point on the solar disk is via the points longitude angle [arctan (x/d)] and latitude angle [arctan y/d].","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
HPR,IVOA_STCT,"Helioprojective Polar coordinates","See Thompson (2006), Section 4.1, 2-dimensional (angular coordinates); left-handed","https://www.ivoa.net/documents/REC/DM/STC-20071030.html","documents/IVOA_STCT-2007.csv"
HPR,SPASE,"Helioprojective Radial","Helioprojective Radial - A 3-D orthonormal (left-handed) coordinate system that is primarily intended to specify with two dimensions a point on the solar disk. The Z axis points from the observer to the center of the solar disk. The Y axis lies in the plane defined by the solar spin vector and the Z axis, positive northward. The X axis is perpendicular to the Y and Z axes, positive toward solar west. Given as the distance between the observer and the center of the solar disk, the standard representation for this system of an (x,y) point on the solar disk is via the points latitude angle theta {= arctan [SQRT(x**2 + y**2)]/d]} or equivalent declination parameter delta (= theta - 90 deg), and its phase angle psi as measured counter- clockwise from the +Y axis [psi = arctan (-y/x)].","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
HRTN,IVOA_STCT,"Heliocentric Radial-Tangential-Normal coordinates","See F&H (2002)","https://www.ivoa.net/documents/REC/DM/STC-20071030.html","documents/IVOA_STCT-2007.csv"
HSM,SPASE,"Heliospheric Solar Magnetospheric","Heliospheric Solar Magnetospheric - A coordinate system where the X axis is from Earth to Sun, Z axis is northward in a plane containing the X axis and the geomagnetic dipole axis.","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
Heliocentric,SunPy,"HCC","A coordinate or frame in the Heliocentric system, which is observer-based.\n\nThe origin is the center of the Sun.\n\nThe Z-axis is aligned with the Sun-observer line.\n\nThe Y-axis is aligned with the component of the vector to the Sun’s north pole that is perpendicular to the Z-axis.\n\nThis frame defaults to a Cartesian component representation, which is known as Heliocentric Cartesian (HCC). This frame can also be represented using cylindrical components, where where rho is the impact parameter and psi is the position angle. psi is measured relative to the west limb, rather than solar north, so is shifted by 90 degrees compared to the convention of the Heliocentric Radial (HCR) system.","https://github.com/sunpy/sunpy/wiki/Coordinate-systems","software/SunPy-2023.csv"
Heliocentric/HeliographicRadial-Tangential-Normal,SunPy,"HGRTN; similar to Heliocentric","The axes are permuted, with HCC X, Y, Z equivalent respectively to HGRTN Y, Z, X","https://github.com/sunpy/sunpy/wiki/Coordinate-systems","software/SunPy-2023.csv"
HeliocentricEarthEcliptic,SunPy,"HEE","A coordinate or frame in the Heliocentric Earth Ecliptic (HEE) system.\n\nThe origin is the center of the Sun.\n\nThe X-axis (0 degrees longitude and 0 degrees latitude) is aligned with the Sun-Earth line.\n\nThe Z-axis (+90 degrees latitude) is aligned with the component perpendicular to the X-axis of the mean ecliptic pole at the observation time.","https://github.com/sunpy/sunpy/wiki/Coordinate-systems","software/SunPy-2023.csv"
HeliocentricEarthEquatorial,SunPy,"HEEQ; HEQ","A coordinate or frame in the Heliocentric Earth Ecliptic (HEE) system.\n\nThe origin is the center of the Sun.\n\nThe X-axis (0 degrees longitude and 0 degrees latitude) is aligned with the Sun-Earth line.\n\nThe Z-axis (+90 degrees latitude) is aligned with the component perpendicular to the X-axis of the mean ecliptic pole at the observation time.","https://github.com/sunpy/sunpy/wiki/Coordinate-systems","software/SunPy-2023.csv"
HeliocentricEclipticIAU76,AstroPy,"Heliocentric Ecliptic IAU76","Heliocentric mean (IAU 1976) ecliptic coordinates. These origin of the coordinates are the center of the sun, with the x axis pointing in the direction of the mean (not true) equinox of J2000, and the xy-plane in the plane of the ecliptic of J2000 (according to the IAU 1976/1980 obliquity model). It has, therefore, a fixed equinox and an older obliquity value than the rest of the frames.","https://docs.astropy.org/en/stable/coordinates/skycoord.html","software/AstroPy-2024-09-09.csv"
HeliocentricInertial,SunPy,"HCI","The origin is the center of the Sun.\n\nThe Z-axis (+90 degrees latitude) is aligned with the Sun’s north pole.\n\nThe X-axis (0 degrees longitude and 0 degrees latitude) is aligned with the solar ascending node on the ecliptic (mean J2000.0).","https://github.com/sunpy/sunpy/wiki/Coordinate-systems","software/SunPy-2023.csv"
HeliocentricMeanEcliptic,SunPy,"Heliocentric Aries Ecliptic (Mean) AKA: HAE; HEC; Astropy’s HeliocentricMeanEcliptic","Heliocentric mean ecliptic coordinates. These origin of the coordinates are the center of the sun, with the x axis pointing in the direction of the mean (not true) equinox as at the time specified by the equinox attribute (as seen from Earth), and the xy-plane in the plane of the ecliptic for that date.","https://github.com/sunpy/sunpy/wiki/Coordinate-systems","software/SunPy-2023.csv"
HeliocentricRadial,SunPy,"HCR; similar to Heliocentric","Use a cylindrical representation, but with a 90-degree offset in psi because Heliocentric in cylindrical measures counter-clockwise from the west limb rather than solar north","https://github.com/sunpy/sunpy/wiki/Coordinate-systems","software/SunPy-2023.csv"
HeliocentricTrueEcliptic,AstroPy,"Heliocentric True Ecliptic","Heliocentric true ecliptic coordinates. These origin of the coordinates are the center of the sun, with the x axis pointing in the direction of the true (not mean) equinox as at the time specified by the equinox attribute (as seen from Earth), and the xy-plane in the plane of the ecliptic for that date.","https://docs.astropy.org/en/stable/coordinates/skycoord.html","software/AstroPy-2024-09-09.csv"
HeliographicCarrington,SunPy,"Heliographic Carrington; HGC","A coordinate or frame in the Carrington Heliographic (HGC) system.\n\nThe origin is the center of the Sun.\n\nThe Z-axis (+90 degrees latitude) is aligned with the Sun’s north pole.\n\nThe X-axis and Y-axis rotate with a period of 25.38 days.\n\nThis system differs from Stonyhurst Heliographic (HGS) in its definition of longitude. This longitude is an “apparent” longitude because it takes into account the time it takes for light to travel from the Sun’s surface to the observer (see Calculating Carrington longitude). Thus, the observer needs to be specified to be able to transform to any other coordinate frame.","https://github.com/sunpy/sunpy/wiki/Coordinate-systems","software/SunPy-2023.csv"
HeliographicStonyhurst,SunPy,"Heliographic Stonyhurst; HGS","A coordinate or frame in the Stonyhurst Heliographic (HGS) system.\n\nThe origin is the center of the Sun.\n\nThe Z-axis (+90 degrees latitude) is aligned with the Sun’s north pole.\n\nThe X-axis (0 degrees longitude and 0 degrees latitude) is aligned with the projection of the Sun-Earth line onto the Sun’s equatorial plane.\n\nThis system is also know as the Heliocentric Earth Equatorial (HEEQ) system when represented using Cartesian components.","https://github.com/sunpy/sunpy/wiki/Coordinate-systems","software/SunPy-2023.csv"
Helioprojective,SunPy,"Helioprojectic Cartesian; HPC","A coordinate or frame in the Helioprojective Cartesian (HPC) system, which is observer-based.\n\nThe origin is the location of the observer.\n\nTx (aka “theta_x”) is the angle relative to the plane containing the Sun-observer line and the Sun’s rotation axis, with positive values in the direction of the Sun’s west limb.\n\nTy (aka “theta_y”) is the angle relative to the Sun’s equatorial plane, with positive values in the direction of the Sun’s north pole.\n\ndistance is the Sun-observer distance.\n\nThis system is frequently used in a projective form without distance specified. For observations looking very close to the center of the Sun, where the small-angle approximation is appropriate, Tx and Ty can be approximated as Cartesian components.","https://github.com/sunpy/sunpy/wiki/Coordinate-systems","software/SunPy-2023.csv"
IAU_52_EUROPA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_ADRASTEA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_AMALTHEA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_ANANKE,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_ARIEL,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_ARROKOTH,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_ATLAS,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_BELINDA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_BENNU,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_BIANCA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_BORRELLY,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
